Entreprise,Annee,Ratio_Autonomie_financiere_elargie,Ratio_independance_Financiere,Ratio_solvabililite_Generale,Ratio_Autonomie_financiere_globale,Ratio_rentabilité_actif,Ratio_financement,Ratio_endettement,Ratio_rotation_actifs,Ratio_rotation_capitauxpropres,Ratio_analyse_sante,Ratio_productivite,D
servi,2016,0.41680052827564995,0.6666555343732083,0.41680052827564995,0.29418433996698656,0.06364690056256851,0.23922622286809267,0.7058156600330134,9.551721547422453,32.468490839771924,0.23650585097604962,9.543493318927634,51.31628866533302
sfbt,2019,1.6163674818841614,0.8232845741878295,1.6163674818841614,0.6177906938058044,0.163226228208719,0.32707714261072446,0.38220930619419563,0.07169389503117686,0.11604884267439781,0.3245060201461607,0.03816653825145067,0.06552804531678236
somoc,2017,0.6989521724228286,0.7368395019370292,0.6989521724228286,0.41140191217159,0.06739704457330009,0.12023080511444584,0.5885980878284099,0.7776597081617652,1.890267607306147,0.11663621200037301,0.8557692863573148,0.3693985199727018
somoc,2019,0.29651013842083,0.577138426458438,0.29651013842083,0.2286986654666535,0.06449033616051315,0.0743827409822061,0.7713013345333465,0.250319765266646,1.0945396850299727,0.002279432428341223,0.34842889896637474,0.19582237284259119
sopat,2018,0.05184628759293474,0.23358230454525647,0.05184628759293474,0.04929074542971557,0.04200874404055815,0.25926200772388036,0.9507092545702844,0.9537649991740683,19.34977835817185,-0.2289689814548295,1.0184932042516208,2.1760697764270818
sotem,2017,0.43946488645599013,0.7166534323051411,0.43946488645599013,0.3052973994648575,0.060331551159920935,0.007240422785843849,0.6947026005351425,0.6342437972004852,2.0774621674217455,-0.14553573854456248,0.7160239145910298,1.781232474317773
sotem,2018,0.39684678634101617,0.7050174376802645,0.39684678634101617,0.2841018716022108,0.07410914725540063,0.006314229992826045,0.7158981283977892,0.6464182021153598,2.2753042719143055,-0.10938794763071517,0.7381013041491313,2.965764553737932
sotuv,2017,0.9726911414477513,0.7567073211962834,0.9814391885736593,0.4909013342710476,0.13178972342376957,0.1575785791723481,0.5046836692070529,0.2266004967221135,0.4616008979861474,0.15913457220382896,0.3408278131771512,4.031649431365348
spdit,2018,38.19945931512472,1.0,38.19945931512472,0.9744894440517408,0.36728104979571485,0.04164425375408447,0.025510555948259215,0.2823034216093847,0.28969366813828284,0.7839304997859262,0.2647269586322492,133.85944292084102
spdit,2020,25.427791490870963,1.0,25.427791490870963,0.9621610454908639,0.2457183172829125,0.038072515796218814,0.03783895450913608,0.9872203345959539,1.0260447969937356,0.7691960332898463,0.9645146204307508,1784.2428354228782
steq,2017,0.3220550521227196,0.8980693476035708,0.3220550521227196,0.24360184668983428,0.051211637414530456,0.0760374956614926,0.7563981533101657,0.9680034041904241,3.9737112724885586,-0.33436589500601804,1.0772777298805452,105.7776414153823
stip,2018,-0.7471233027224481,3.023281473222967,-0.7471233027224481,-2.9544964433888583,0.019775324759219743,0.03065785159724917,3.9544964433888583,0.9889923795111802,-0.33474143511805654,-1.1291816185610801,1.0785903458233865,0.3795500961002317
stpap,2017,1.5315699485270509,0.8056528177941338,1.5315699485270509,0.6049882008664891,0.13053875589067473,0.027471084304233322,0.3950117991335109,1.1213207183507286,1.8534588224112911,0.38283799057071116,1.1725164100411778,3.1561080880518113
stpap,2018,1.592566573059617,0.829129013756562,1.592566573059617,0.6142818431775697,0.18510092292699146,0.10974659241535265,0.38571815682243027,0.13994638462263453,0.22782113158142037,0.38962275455372525,0.23385235484976175,1.2129899428783244
stpil,2017,4.802153575184721,0.9446918469042271,4.802153575184721,0.8276502014222946,0.35656040585711035,0.0,0.1723497985777054,21.266861305447215,25.695470464334676,0.6570497589448911,21.221170823839085,7.504065938643115
tair,2015_1,0.03146824928763432,0.05921002680745936,-1.9685317507123656,-0.032490673913879525,0.06594173172493067,-0.4751614171377782,-1.0324906739138795,-79.2952341883848,2440.55369237851,1.0162453369569397,-79.44394199665842,84.92516280426861
tgh,2018,0.2625601787680467,0.6297353852891994,0.2625601787680467,0.20795854580511317,0.006338697089970498,-0.2959740756485585,0.7920414541948868,1.8270031134047529,8.785419739936609,0.05688967366078698,2.1918073504505586,7.835916646622673
tjari,2017,0.07017607310255261,0.12307789893865057,0.07443326489874864,0.06531450150993398,0.024299591426861125,0.0215784382982059,0.9307232311857331,57.118910860814196,874.5211176744069,0.03463838440713347,57.12559039724834,172.08118053136178
tjari,2018,0.07695130586154397,0.13337573739717065,0.08127140986029016,0.07116742860285816,0.025707284929624704,0.025599222641745474,0.924837178603667,1.9050022486014992,26.76789489236924,0.0375814106981665,1.9136535945809243,3.0272329691324855
tjl,2019,0.1040332944431104,0.17223105977796155,0.1040332944431104,0.0942302147650232,0.007069704552887221,0.03308102262345909,0.9057697852349768,0.0772121645151895,0.819399220385195,0.0471151073825116,0.0969248738972608,199.40816671672286
tlnet,2019,1.403935671383848,0.9185867810158495,1.403935671383848,0.5840154909701304,0.14355994238848674,0.24012300203482057,0.4159845090298696,2.676992633771882,4.583769908782775,0.31262261227661603,2.607713314867276,107.39906472606897
tls,2017_0,0.16669308965125568,0.25002972467954054,0.16669308965125568,0.1428765552224905,0.00574967790756799,0.05067279949595852,0.8571234447775095,0.055679163173581285,0.38970118706233137,0.07143827761124524,0.094578706527102,0.11056281634817672
tpr,2016_0,1.0520158356728053,0.8387780847288833,1.0723572557935068,0.5076421223858856,0.08415407920855494,0.18817427915074894,0.4825422823233726,0.6554256047201072,1.2911174542404966,0.3260911260403337,0.6521632635273713,1.6410231862175397
uadh,2017,2.2159262143331233,0.8128042604118753,2.2159262143331233,0.6890475920924178,0.05082179751665332,0.006063766228081534,0.3109524079075822,3.4334896942353663,4.982949993060643,0.1602523245832712,3.4492444828132274,0.7197875464524324
ubci,2017,0.18519729905510676,0.2702831714463783,0.18519729905510676,0.15625862394620244,0.017045315277775776,0.053262356844295325,0.8437413760537975,60.41095041113785,386.6087444359964,0.07812931197310122,60.41994858433913,160.50775494636082
ubci,2018,0.10275430741426723,0.17047461320528595,0.10461839362420579,0.09302244830192873,0.021457024093401316,0.05412263809536792,0.9052900130687148,59.16673504100274,636.0479230665011,0.047354993465642606,59.17729186702062,133.43115453163875
ubci,2019,0.129932861621942,0.20626461887921319,0.129932861621942,0.11499166546535534,0.029039730047851844,0.06987825001364596,0.8850083345346447,71.7285027088987,623.7713178483274,0.05749583273267767,71.74099653322547,148.54003205258977
uib,2018,0.10117811647437551,0.16829973297720344,0.10166496815903846,0.09184109452391087,0.0276936038042238,0.03995669703119576,0.9077169819342373,59.06398541407975,643.1106436640127,0.04614150903288136,59.07258964752159,95.76575417417446
unimed,2017,4.316445248288197,0.9434053097328965,4.316445248288197,0.8119043922587216,0.14753639004764543,0.3738589864458871,0.18809560774127837,0.6912561108656685,0.851400876084179,0.38013959531217023,0.7524721679869975,12.906080626956333
unimed,2019,2.0210872506689155,0.7862823951327839,2.0210872506689155,0.6689933401365404,0.19261063348324345,0.3367312583658699,0.3310066598634596,0.7165799403924413,1.0711316501987727,0.34572039765394164,0.8023260433782522,4.988570350130031
wifack,2018,0.41443227124169596,0.4532126481920237,0.41450295674766907,0.29298791442231387,-0.004770391682073341,0.03391684115705887,0.7069621136029823,0.040486502071518035,0.13818488776694263,0.14651894319850883,-0.03030037120732782,0.4586318252762026
mnp,2019,0.2993329586950873,0.5717986647797498,0.2993329586950873,0.23037432914478342,0.01594062647834987,0.015274959326566317,0.7696256708552166,2.432733880906387,10.559917374203122,-0.2076550724235489,2.505911253885159,0.5805322110929598
