Entreprise;Annee;TCPP;CapitalPropre;PassifNonC;TActif;TPassif;PassifCourant;ActifNonC;ActifCourant;Reserves;CapitalSociale;TProdExploitation;TChargeExploitation;R_Exploitation;Res_Exsercice;ActiviteOrdinaire;Dotation;FT_Exploitation;FT_Investisement;FT_Financement;TDebut;TFin;Variation;Chiffre_Affaire;CapBoursiere
al;2019;107706997.0;48539096.0;11949697.0;107706997.0;46636240.0;34686543.0;30745398.0;76961599.0;3769195.0;40047675.0;156119.0;-3572158.0;18687872.0;12531661.0;12531661.0;6337170.0;8438319.0;-3879940.0;-4173548.0;9307143.0;9480383.0;173240.0;100285000.0;88872626.0
assad;2017;110149592.0;44326291.0;31187480.0;110149592.0;65823301.0;34635821.0;30981669.0;79167923.0;18381263.0;12000000.0;91732148.0;80433575.0;11298573.0;7157683.0;7157683.0;8033662.0;10670589.0;-5715679.0;-2862053.0;-16479465.0;-14386608.0;2092857.0;120160000.0;46080000.0
assad;2018;123033578.0;48092996.0;29745700.0;123033578.0;74940582.0;45194882.0;29827650.0;93205928.0;14943148.0;12000000.0;99619664.0;89758441.0;9861223.0;8037117.0;8037117.0;5479543.0;-2681781.0;-3351472.0;-4411785.0;-14386608.0;-24831646.0;-10445038.0;124491000.0;46080000.0
ab;2018;8885599.0;978601.0;3951454.5;8885599.0;7902909.0;3951454.5;4442799.5;4442799.5;720488.0;132405.0;369080.0;-37828.0;140547.0;125280.0;127517.0;-3907.0;686924.0;-198104.0;-120359.0;-961189.0;-593794.0;367395.0;829094000.0;632895900
ab;2019;9011329.0;1081664.0;3962827.0;9011329.0;7925654.0;3962827.0;4505664.5;4505664.5;802254.0;132405.0;393133.0;-39821.0;155860.0;146556.0;147746.0;-7545.0;340501.0;126945.0;-18446.0;-593794.0;-149081.0;444713.0;908101000.0;632895900
adwya;2018;112132832.0;39002918.0;13751706.0;112132832.0;73129914.0;59378208.0;39316054.0;72816778.0;14166510.0;21528000.0;161385.0;-7386136.0;11019795.0;3122741.0;3122741.0;-4701310.0;-5058101.0;-5678434.0;9898600.0;252814.0;-585121.0;-837935.0;108179000.0;100320480
adwya;2019;114190019.0;38336184.0;12166398.0;114190019.0;75853835.0;63687437.0;42472071.0;71717948.0;15136451.0;21528000.0;997184.0;-4583113.0;5580297.0;1547713.0;1547713.0;-4601947.0;8248989.0;-3706492.0;-6936927.0;-585121.0;-2979551.0;-2394430.0;106194000.0;100320480
aetec;2018;7688829.0;-4859526.0;157782.0;7688829.0;12548354.0;12390573.0;599478.0;7089350.0;164000.0;2223334.0;-2332358.0;-657634.0;-1674724.0;-2287178.0;-2287178.0;568939.0;2223956.0;40911.0;-751566.0;-3141014.0;-1627712.0;1513301.0;9980000.0;1000500
atb;2019;7150364.0;545754.0;3302305.0;7150364.0;6604610.0;3302305.0;3575182.0;3575182.0;438687.0;100000.0;574363.0;-59927.0;8174.0;6300.0;6352.0;-16058.0;267895.0;32176.0;35329.0;-373697.0;709097.0;335400.0;270743000.0;270000000
ams;2015;64654264.0;8995124.0;6137735.0;64654264.0;55659140.0;49521405.0;17838832.0;46815432.0;5000000.0;26828020.0;26457718.0;-3314347.0;-5953059.0;-6594795.0;-6594795.0;5253582.0;-7016229.0;-606100.0;6529484.0;-6588050.0;-7680895.0;-1092845.0;25361000.0;5261753
lstr;2019;113403520.0;-7455068.0;72451433.0;113403520.0;120858588.0;48407155.0;56665512.0;56738008.0;890190.0;20575112.0;9444246.0;-9551086.0;-9037171.0;-17812055.0;-17812055.0;5099732.0;14322634.0;-20202072.0;4873772.0;-17785327.0;-18790993.0;-1005666.0;9400000.0;9978929
gif;2017;23688869.0;10624496.0;2067448.0;23688869.0;13064373.0;10996925.0;7365676.0;16323193.0;1482445.0;10563994.0;502879.0;1126581.0;-273771.0;-641584.0;-641598.0;1397211.0;491581.0;-1062657.0;903120.0;-541056.0;-1423683.0;-882627.0;16884000.0;8979394
mgr;2017;25848896.0;21667847.0;314109.0;25848896.0;4181049.0;3866940.0;17222436.0;8626460.0;3450866.0;13200000.0;765863.0;8856085.0;3197410.0;3070143.0;3070143.0;1265616.0;4373254.0;-5739921.0;-1317254.0;10432622.0;7748701.0;-2683921.0;12274000.0;41712000
ml;2018;381679599.0;38214594.0;171732502.5;381679599.0;343465005.0;171732502.5;190839799.5;190839799.5;1490146.0;35000000.0;8951613.0;-12236966.0;-3285353.0;-3323019.0;-3318019.0;-252516.0;-22511224.0;-1381289.0;26737092.0;4680370.0;7524949.0;2844579.0;8952000.0;0
sah;2018;758893702.0;758893702.0;91062201.0;758893702.0;479021927.0;387959726.0;278138709.0;480754993.0;5333842.0;60319165.0;12833723.0;-32481113.0;45314836.0;26498356.0;27041489.0;-16781799.0;-53123438.0;-76630327.0;88688189.0;-1681426.0;12319399.0;3934504.0;440350000.0;832505007
scb;2018;287344134.0;40840579.0;108791355.0;287344134.0;246503554.0;137712200.0;221398767.0;65945367.0;101493002.0;44047290.0;5057096.0;-15723563.0;-16591012.0;-32914243.0;-32914243.0;17796130.0;11409997.0;-7103321.0;-10917937.0;19340622.0;14769219.0;-4571402.0;83297000.0;51094856
servi;2017;114844694.0;40984476.0;15346131.0;114844694.0;73860219.0;58514088.0;22647283.0;92197412.0;42585458.0;11874000.0;5011.0;-6649386.0;-8320771.0;-15054629.0;-15084832.0;11527268.0;-21120099.0;-31400.0;6613496.0;-8656399.0;-23194402.0;-14538002.0;20634000.0;23748000
sfbt;2017;1340686142.0;843076725.0;159769364.0;1340686142.0;497609417.0;337840053.0;587768564.0;752917578.0;485715064.0;132000000.0;11610919.0;-14146500.0;211264836.0;172094257.0;179799080.0;76921521.0;180352557.0;-125733184.0;-94897152.0;120609271.0;80331492.0;-40277779.0;996867000.0;4561425000
somoc;2018;346018061.0;81087562.0;50750503.0;346018061.0;264930499.0;214179996.0;126399581.0;219618480.0;22399427.0;40656000.0;129967734.0;-18338837.0;23421011.0;1101923.0;6987471.0;-11739599.0;-11118442.0;-11100824.0;;-22071395.0;-24220997.0;-2149602.0;128905000.0;40656000
sopat;2017;45982637.0;1780122.0;3014956.0;45982637.0;44202515.0;41187559.0;19255197.0;26727440.0;14069109.0;-2812500.0;79295.0;-1791860.0;-5153372.0;-5822034.0;-5754813.0;-2632917.0;-3801300.0;-4375160.0;10306554.0;-7089214.0;-4959120.0;2130094.0;66690000.0;52248525
tpr;2018;181382409.0;113259917.0;6694472.0;181382409.0;68122492.0;61428020.0;40374181.0;141008227.0;5709300.0;50000000.0;4437336.0;-3150192.0;21718236.0;18484528.0;18484528.0;-3693022.0;1317371.0;-2089672.0;-4371223.0;-143715.0;-5287242.0;-5143524.0;188797000.0;217000000
tpr;2017;208798850.0;100637280.0;26977011.0;208798850.0;105821833.0;78844823.0;58881741.0;149917109.0;35212862.0;50000000.0;3581895.0;-5038485.0;20596848.0;15028339.0;15028339.0;6404534.0;16883807.0;-7531267.0;1455306.0;-5332021.0;5475825.0;10807846.0;154402000.0;217000000
alkim;2018;126127662.0;8206197.0;5806015.0;126127662.0;117921465.0;112115451.0;39378325.0;86749337.0;39727253.0;19472530.0;226755.0;3746692.0;-24828036.0;-21836518.0;-21836518.0;4468358.0;15456455.0;-4261278.0;-9439027.0;2204695.0;4210688.0;2005992.0;116970000.0;88872626
pgh;2018;3491924978.0;848108944.0;1237284555.0;3491924979.0;2625185374.0;1387900819.0;1350058710.0;2141866269.0;540473164.0;180003600.0;11631480.0;-79159451.0;229466675.0;152008990.0;153655999.0;-134949981.0;101610880.0;-218492157.0;60739713.0;45142432.0;-10999131.0;-56141564.0;2167700000.0;2430048600
unimed;2018;132087929.0;93439569.0;16911489.0;132087929.0;38648360.0;21736871.0;62177016.0;69910913.0;43057969.0;32000000.0;9845.0;-749934.0;23894584.0;18359678.0;18359678.0;-7289716.0;13380031.0;-18156649.0;1946671.0;10827192.0;7997245.0;-2829947.0;87088000.0;247040000
wifack;2017;401852577.0;170687632.0;115582472.5;401852577.0;231164945.0;115582472.5;200926288.5;200926288.5;20636978.0;150000000.0;24095210.0;-3364046.0;-1636144.0;-1653156.0;-1648156.0;-4259933.0;59277104.0;-39968767.0;-23283991.0;37244137.0;33268483.0;-3975654.0;15891000.0;204000000
